Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,3,18291,1266,21042,5373,4173,14472
2,3,4420,5139,2661,8872,1321,181
1,3,19899,5332,8713,8132,764,648
2,3,8190,6343,9794,1285,1901,1780
2,2,20398,1137,3,4407,3,975
1,3,717,3587,6532,7530,529,894
2,3,12205,12697,28540,869,12034,1009
1,1,10766,1175,2067,2096,301,167
2,3,1640,3259,3655,868,1202,1653
2,3,7005,829,3009,430,610,529
1,3,219,9540,14403,283,7818,156
2,1,10362,9232,11009,737,3537,2342
1,3,20874,1563,1783,2320,550,772
1,3,11867,3327,4814,1178,3837,120
2,3,16117,46197,92780,1026,40827,2944
2,3,22925,73498,32114,987,20070,903
1,3,43265,5025,8117,6312,1579,14351
1,3,7864,542,4042,9735,165,46
2,1,24904,3836,5330,3443,454,3178
1,3,11405,596,1638,3347,69,360
1,3,12754,2762,2530,8693,627,1117
1,3,9198,27472,32034,3232,18906,5130
2,3,11314,3090,2062,35009,71,2698
1,3,5626,12220,11323,206,5038,244
1,3,3,2920,6252,440,223,709
2,3,23,2616,8118,145,3874,217
1,2,403,254,610,774,54,63
1,3,503,112,778,895,56,132
1,3,9658,2182,1909,5639,215,323
2,1,11594,7779,12144,3252,8035,3029
1,2,1420,10810,16267,1593,6766,1838
1,3,2932,6459,7677,2561,4573,1386
2,3,56082,3504,8906,18028,1480,2498
1,2,14100,2132,3445,1336,1491,548
1,3,15587,1014,3970,910,139,1378
2,2,1454,6337,10704,133,6830,1831
1,3,8797,10646,14886,2471,8969,1438
2,1,1531,8397,6981,247,2505,1236
1,3,1406,16729,28986,673,836,3
2,3,11818,1648,1694,2276,169,1647
2,3,12579,11114,17569,805,6457,1519
2,3,19046,2770,2469,8853,483,2708
1,3,14438,2295,1733,3220,585,1561
1,3,18044,1080,2000,2555,118,1266
2,3,11134,793,2988,2715,276,610
2,1,11173,2521,3355,1517,310,222
1,3,6990,3880,5380,1647,319,1160
2,3,20049,1891,2362,5343,411,933
2,3,8258,2344,2147,3896,266,635
2,3,17160,1200,3412,2417,174,1136
1,1,4020,3234,1498,2395,264,255
1,3,12212,201,245,1991,25,860
1,3,11170,10769,8814,2194,1976,143
1,1,36050,1642,2961,4787,500,1621
2,3,76237,3473,7102,16538,778,918
1,3,19219,1840,1658,8195,349,483
2,3,21465,7243,10685,880,2386,2749
1,2,140,8847,3823,142,1062,3
1,3,42312,926,1510,1718,410,1819
2,1,7149,2428,699,6316,395,911
1,2,2101,589,314,346,70,310
2,1,14903,2032,2479,576,955,328
1,3,9434,1042,1235,436,256,396
1,3,7388,1882,2174,720,47,537
2,2,6300,1289,2591,1170,199,326
1,3,4625,8579,7030,4575,2447,1542
2,3,3087,8080,8282,661,721,36
1,3,13537,4257,5034,155,249,3271
2,2,5387,4979,3343,825,637,929
2,2,17623,4280,7305,2279,960,2616
1,1,30379,13252,5189,321,51,1450
1,1,37036,7152,8253,2995,20,3
1,3,10405,1596,1096,8425,399,318
2,3,18827,3677,1988,118,516,201
2,3,22039,8384,34792,42,12591,4430
1,3,7769,1936,2177,926,73,520
2,3,9203,3373,2707,1286,1082,526
1,3,5924,584,542,4052,283,434
2,3,31812,1433,1651,800,113,1440
1,2,16225,1825,1765,853,170,1067
2,1,1289,3328,2022,531,255,1774
2,3,18840,1371,3135,3001,352,184
1,3,3463,9250,2368,779,302,1627
1,2,622,55,137,75,7,8
1,3,1989,10690,19460,233,11577,2153
1,2,3830,5291,14855,317,6694,3182
2,3,17773,1366,2474,3378,811,418
1,1,2861,6570,9618,930,4004,1682
2,3,355,7704,14682,398,8077,303
1,1,1725,3651,12822,824,4424,2157
1,2,12434,540,283,1092,3,2233
2,3,15177,2024,3810,2665,232,610
2,3,5531,15726,26870,2367,13726,446
1,3,5224,7603,8584,2540,3674,238
2,1,15615,12653,19858,4425,7108,2379
2,1,4822,6721,9170,993,4973,3637
2,3,2926,3195,3268,405,1680,693
2,1,5809,735,803,1393,79,429
1,1,5414,717,2155,2399,69,750
1,1,260,8675,13430,1116,7015,323
2,3,200,25862,19816,651,8773,6250
2,3,955,5479,6536,333,2840,707
2,3,514,7677,19805,937,9836,716
2,3,286,1208,5241,2515,153,1442
2,1,2343,7845,11874,52,4196,1697
1,3,45640,6958,6536,7368,1532,230
1,1,12759,7330,4533,1752,20,2631
2,3,11002,7075,4945,1152,120,395
2,3,3157,4888,2500,4477,273,2165
2,1,12356,6036,8887,402,1382,2794
2,2,112151,29627,18148,16745,4948,8550
1,3,694,8533,10518,443,6907,156
2,3,36847,43950,20170,36534,239,47943
1,3,327,918,4710,74,334,11
1,3,8170,6448,1139,2181,58,247
1,1,3009,521,854,3470,949,727
2,2,2438,8002,9819,6269,3459,3
2,3,8040,7639,11687,2758,6839,404
2,3,834,11577,11522,275,4027,1856
1,3,16936,6250,1981,7332,118,64
1,3,13624,295,1381,890,43,84
1,3,5509,1461,2251,547,187,409
1,3,180,3485,20292,959,5618,666
2,3,7107,1012,2974,806,355,1142
2,2,17023,5139,5230,7888,330,1755
2,3,30624,7209,4897,18711,763,2876
2,1,2427,7097,10391,1127,4314,1468
1,3,11686,2154,6824,3527,592,697
1,3,9670,2280,2112,520,402,347
1,1,3067,13240,23127,3941,9959,731
2,3,4484,14399,24708,3549,14235,1681
2,3,25203,11487,9490,5065,284,6854
2,3,583,685,2216,469,954,18
1,1,1956,891,5226,1383,5,1328
2,2,1107,11711,23596,955,9265,710
1,1,6373,780,950,878,288,285
2,3,2541,4737,6089,2946,5316,120
1,2,1537,3748,5838,1859,3381,806
1,3,5550,12729,16767,864,12420,797
2,3,18567,1895,1393,1801,244,2100
2,1,12119,28326,39694,4736,19410,2870
1,3,7291,1012,2062,1291,240,1775
2,3,3317,6602,6861,1329,3961,1215
1,3,2362,6551,11364,913,5957,791
1,3,2806,10765,15538,1374,5828,2388
2,3,2532,16599,36486,179,13308,674
2,3,18044,1475,2046,2532,130,1158
1,2,18,7504,15205,1285,4797,6372
1,1,4155,367,1390,2306,86,130
1,1,14755,899,1382,1765,56,749
1,3,5396,7503,10646,91,4167,239
1,3,5041,1115,2856,7496,256,375
1,1,2790,2527,5265,5612,788,1360
2,1,7274,659,1499,784,70,659
2,1,12680,3243,4157,660,761,786
2,3,20782,5921,9212,1759,2568,1553
1,3,4042,2204,1563,2286,263,689
2,3,1869,577,572,950,4762,203
1,3,8656,2746,2501,6845,694,980
2,1,11072,5989,5615,8321,955,2137
1,3,2344,10678,3828,1439,1566,490
1,2,25962,1780,3838,638,284,834
2,3,964,4984,3316,937,409,7
1,3,15603,2703,3833,4260,325,2563
2,3,1838,6380,2824,1218,1216,295
1,2,8635,820,3047,2312,415,225
1,2,18692,3838,593,4634,28,1215
1,3,7363,475,585,1112,72,216
1,2,47493,2567,3779,5243,828,2253
1,1,22096,3575,7041,11422,343,2564
1,3,24929,1801,2475,2216,412,1047
2,3,18226,659,2914,3752,586,578
2,1,11210,3576,5119,561,1682,2398
2,3,6202,7775,10817,1183,3143,1970
1,3,3062,6154,13916,230,8933,2784
2,3,8885,2428,1777,1777,430,610
2,3,13569,346,489,2077,44,659
1,2,15671,5279,2406,559,562,572
1,3,8040,3795,2070,6340,918,291
1,3,3191,1993,1799,1730,234,710
1,1,6134,23133,33586,6746,18594,5121
2,3,6623,1860,4740,7683,205,1693
1,2,29526,7961,16966,432,363,1391
1,3,10379,17972,4748,4686,1547,3265
2,1,31614,489,1495,3242,111,615
1,1,11092,5008,5249,453,392,373
2,3,8475,1931,1883,5004,3593,987
2,3,56083,4563,2124,6422,730,3321
1,2,53205,4959,7336,3012,967,818
2,3,9193,4885,2157,327,780,548
2,3,7858,1110,1094,6818,49,287
1,3,23257,1372,1677,982,429,655
2,3,2153,1115,6684,4324,2894,411
2,3,1073,9679,15445,61,5980,1265
2,3,5909,23527,13699,10155,830,3636
2,3,572,9763,22182,2221,4882,2563
1,3,20893,1222,2576,3975,737,3628
1,3,11908,8053,19847,1069,6374,698
1,2,15218,258,1138,2516,333,204
2,3,4720,1032,975,5500,197,56
1,3,2083,5007,1563,1120,147,1550
1,1,514,8323,6869,529,93,1040
2,1,36817,3045,1493,4802,210,1824
1,3,894,1703,1841,744,759,1153
2,2,680,1610,223,862,96,379
1,3,27901,3749,6964,4479,603,2503
1,2,9061,829,683,16919,621,139
2,1,11693,2317,2543,5845,274,1409
2,3,17360,6200,9694,1293,3620,1721
2,3,3366,2884,2431,977,167,1104
1,1,12238,7108,6235,1093,2328,2079
1,3,49063,3965,4252,5970,1041,1404
1,2,25767,3613,2013,10303,314,1384
1,3,68951,4411,12609,8692,751,2406
2,3,40254,640,3600,1042,436,18
2,3,7149,2247,1242,1619,1226,128
2,3,15354,2102,2828,8366,386,1027
1,3,16260,594,1296,848,445,258
1,1,42786,286,471,1388,32,22
2,3,2708,2160,2642,502,965,1522
2,2,6022,3354,3261,2507,212,686
1,3,2838,3086,4329,3838,825,1060
1,3,3996,11103,12469,902,5952,741
1,1,21273,2013,6550,909,811,1854
2,3,7588,1897,5234,417,2208,254
2,3,19087,1304,3643,3045,710,898
1,2,8090,3199,6986,1455,3712,531
2,3,6758,4560,9965,934,4538,1037
2,3,444,879,2060,264,290,259
1,3,16448,6243,6360,824,2662,2005
1,3,5283,13316,20399,1809,8752,172
2,1,2886,5302,9785,364,6236,555
1,2,2599,3688,13829,492,10069,59
1,3,161,7460,24773,617,11783,2410
2,3,243,12939,8852,799,3909,211
2,3,6468,12867,21570,1840,7558,1543
1,2,17327,2374,2842,1149,351,925
1,2,6987,1020,3007,416,257,656
1,3,918,20655,13567,1465,6846,806
2,3,7034,1492,2405,12569,299,1117
2,3,29635,2335,8280,3046,371,117
2,3,2137,3737,19172,1274,17120,142
1,1,9784,925,2405,4447,183,297
2,3,10617,1795,7647,1483,857,1233
2,1,1479,14982,11924,662,3891,3508
2,3,7127,1375,2201,2679,83,1059
1,3,1182,3088,6114,978,821,1637
2,2,11800,2713,3558,2121,706,51
2,3,9759,25071,17645,1128,12408,1625
2,1,1774,3696,2280,514,275,834
2,3,9155,1897,5167,2714,228,1113
2,1,15881,713,3315,3703,1470,229
1,3,13360,944,11593,915,1679,573
2,3,25977,3587,2464,2369,140,1092
1,3,32717,16784,13626,60869,1272,5609
1,3,4414,1610,1431,3498,387,834
2,1,542,899,1664,414,88,522
1,3,16933,2209,3389,7849,210,1534
2,3,5113,1486,4583,5127,492,739
2,3,9790,1786,5109,3570,182,1043
1,2,11223,14881,26839,1234,9606,1102
2,3,22321,3216,1447,2208,178,2602
2,3,8565,4980,67298,131,38102,1215
1,1,16823,928,2743,11559,332,3486
2,3,27082,6817,10790,1365,4111,2139
1,3,13970,1511,1330,650,146,778
1,3,9351,1347,2611,8170,442,868
2,1,3,333,7021,15601,15,550
2,3,2617,1188,5332,9584,573,1942
2,3,381,4025,9670,388,7271,1371
1,3,2320,5763,11238,767,5162,2158
1,3,255,5758,5923,349,4595,1328
2,3,1689,6964,26316,1456,15469,37
1,3,3043,1172,1763,2234,217,379
1,3,1198,2602,8335,402,3843,303
1,3,2771,6939,15541,2693,6600,1115
2,2,27380,7184,12311,2809,4621,1022
2,1,3428,2380,2028,1341,1184,665
2,3,5981,14641,20521,2005,12218,445
2,3,3521,1099,1997,1796,173,995
1,2,1210,10044,22294,1741,12638,3137
1,3,608,1106,1533,830,90,195
1,3,117,6264,21203,228,8682,1111
2,3,14039,7393,2548,6386,1333,2341
2,3,190,727,2012,245,184,127
1,3,22686,134,218,3157,9,548
1,3,37,1275,22272,137,6747,110
2,3,759,18664,1660,6114,536,4100
1,1,796,5878,2109,340,232,776
1,2,19746,2872,2006,2601,468,503
1,3,4734,607,864,1206,159,405
2,1,2121,1601,2453,560,179,712
2,3,4627,997,4438,191,1335,314
2,3,2615,873,1524,1103,514,468
2,1,4692,6128,8025,1619,4515,3105
1,2,9561,2217,1664,1173,222,447
1,3,3477,894,534,1457,252,342
2,3,22335,1196,2406,2046,101,558
1,3,6211,337,683,1089,41,296
1,1,39679,3944,4955,1364,523,2235
2,3,20105,1887,1939,8164,716,790
2,1,3884,3801,1641,876,397,4829
2,3,15076,6257,7398,1504,1916,3113
2,3,6338,2256,1668,1492,311,686
1,3,5841,1450,1162,597,476,70
2,3,3136,8630,13586,5641,4666,1426
1,3,38793,3154,2648,1034,96,1242
1,3,3225,3294,1902,282,68,1114
2,3,4048,5164,10391,130,813,179
2,3,28257,944,2146,3881,600,270
1,1,17770,4591,1617,9927,246,532
1,3,34454,7435,8469,2540,1711,2893
2,1,1821,1364,3450,4006,397,361
2,3,10683,21858,15400,3635,282,5120
2,1,11635,922,1614,2583,192,1068
1,3,1206,3620,2857,1945,353,967
2,3,20918,1916,1573,1960,231,961
1,3,9785,848,1172,1677,200,406
2,3,9385,1530,1422,3019,227,684
2,3,3352,1181,1328,5502,311,1000
2,3,2647,2761,2313,907,95,1827
2,2,518,4180,3600,659,122,654
2,3,23632,6730,3842,8620,385,819
2,3,12377,865,3204,1398,149,452
2,3,9602,1316,1263,2921,841,290
2,2,4515,11991,9345,2644,3378,2213
2,3,11535,1666,1428,6838,64,743
1,3,11442,1032,582,5390,74,247
2,3,9612,577,935,1601,469,375
1,1,4446,906,1238,3576,153,1014
2,3,27167,2801,2128,13223,92,1902
1,3,26539,4753,5091,220,10,340
1,3,25606,11006,4604,127,632,288
2,3,18073,4613,3444,4324,914,715
2,1,6884,1046,1167,2069,593,378
2,3,25066,5010,5026,9806,1092,960
2,3,7362,12844,18683,2854,7883,553
1,3,8257,3880,6407,1646,2730,344
1,3,8708,3634,6100,2349,2123,5137
1,3,6633,2096,4563,1389,1860,1892
2,2,2126,3289,3281,1535,235,4365
1,3,97,3605,12400,98,2970,62
2,3,4983,4859,6633,17866,912,2435
2,3,5969,1990,3417,5679,1135,290
2,3,7842,6046,8552,1691,3540,1874
2,3,4389,10940,10908,848,6728,993
2,1,5065,5499,11055,364,3485,1063
2,1,660,8494,18622,133,6740,776
2,1,8861,3783,2223,633,1580,1521
2,3,4456,5266,13227,25,6818,1393
1,3,17063,4847,9053,1031,3415,1784
1,3,26400,1377,4172,830,948,1218
2,3,17565,3686,4657,1059,1803,668
1,3,16980,2884,12232,874,3213,249
2,3,11243,2408,2593,15348,108,1886
1,2,13134,9347,14316,3141,5079,1894
1,3,31012,16687,5429,15082,439,1163
2,1,3047,5970,4910,2198,850,317
1,3,8607,1750,3580,47,84,2501
1,2,3097,4230,16483,575,241,2080
1,1,8533,5506,5160,13486,1377,1498
1,3,21117,1162,4754,269,1328,395
2,3,1982,3218,1493,1541,356,1449
2,3,16731,3922,7994,688,2371,838
2,3,29703,12051,16027,13135,182,2204
1,1,39228,1431,764,4510,93,2346
1,1,14531,15488,30243,437,14841,1867
2,2,10290,1981,2232,1038,168,2125
1,3,2787,1698,2510,65,477,52
1,1,12888,9875,7780,433,2893,1557
1,1,7230,9983,9741,1935,3466,1949
2,1,6850,9305,8181,2902,4013,8341
2,2,13762,1693,4718,6901,1004,2285
1,3,23031,5826,7614,4331,2193,5601
1,3,9324,8170,5037,577,1706,1362
2,3,11635,2708,6484,-11,2649,54
2,1,7694,5071,9541,1784,3436,2681
2,1,5696,3381,5925,158,1449,483
1,1,5758,10845,18633,911,7177,1850
1,1,3429,5466,13037,4463,6040,1807
2,1,12875,853,4252,1149,278,226
1,3,31729,12334,11772,302,3896,2946
1,3,20903,5894,14668,2781,6393,288
1,3,24658,9470,12096,299,5063,2173
1,3,10206,1067,3774,350,917,365
2,3,1504,9300,12605,618,4992,1564
1,2,5670,5951,2727,633,164,4272
2,2,18259,5985,9757,1863,2425,2839
2,3,8206,2921,9890,1095,2944,927
2,3,17259,4232,4315,779,1972,1837
1,1,5651,955,2094,3467,459,653
1,3,31536,2177,4729,9668,2641,4594
2,3,26587,36637,22233,5368,4551,16737
1,3,23072,10201,14217,3340,4907,6203
2,3,16315,4380,7745,351,4153,207
1,3,10243,1306,3206,3496,587,1178
2,3,14058,585,2827,267,-118,300
2,3,4450,20821,26294,1495,8941,5543
2,2,42989,2001,2510,1101,1008,724
2,3,18402,3197,10694,735,1721,2550
1,3,2180,3907,2701,1656,388,553
2,3,21199,885,2453,-167,485,-28
2,2,29508,4565,7105,5909,140,862
2,3,1187,1664,1947,110,168,80
1,3,351,5154,10754,496,3902,99
2,3,30176,4583,5649,1950,1083,4847
1,3,15564,10952,12873,2316,6902,1110
2,3,4437,15575,16555,-121,6802,279
2,1,56008,404,751,9851,61,2765
1,1,23866,4173,4598,9351,986,5705
2,3,18844,2733,5624,1701,2243,2470
1,3,10847,7552,14958,185,6896,43
1,3,859,11324,24227,1016,9758,301
1,3,9614,6971,10415,485,4562,9
1,3,4909,21772,21259,1468,7081,4713
1,3,3246,14212,22098,1811,6935,1595
1,1,44651,54444,55756,7967,24356,6650
1,2,11557,6190,10906,622,5159,1514
2,3,4637,21082,28591,1468,13253,833
2,1,6632,1458,2343,4223,972,2525
2,3,2872,3576,6521,-236,1063,-174
1,3,40880,4075,6035,691,2746,1437
2,3,84,10066,11125,337,5204,-183
1,3,27084,1204,1702,2191,-41,1088
1,3,5737,4156,5478,1530,2497,1603
1,3,4190,29984,26958,2708,17832,1432
2,1,5331,9847,10401,-48,7486,1196
2,2,13650,1841,1519,467,98,307
1,1,6502,5725,8405,494,3449,1968
1,3,9020,3475,8284,526,4525,655
2,3,36031,38458,59687,3343,26790,2106
1,2,7712,6134,6433,4043,3963,853
2,1,9203,11408,15582,2703,7484,1102
2,3,4755,1222,3245,3719,1242,1140
2,3,-352,20522,45391,-401,23794,986
1,3,-431,1094,6977,-265,3028,-413
1,3,19566,6412,13115,909,4794,487
2,3,2045,6859,3592,5469,387,2694
1,3,8369,2837,1310,796,673,161
2,3,16904,2236,3401,10842,315,1564
2,3,18032,1007,20783,5114,3914,14213
2,3,4128,4847,2369,8580,1029,-111
1,1,20214,5647,9028,8447,1079,963
2,3,8241,6394,9845,1336,1952,1831
2,1,20082,821,-313,4091,-313,659
2,3,948,3818,6763,7761,760,1125
2,1,11974,12466,28309,638,11803,778
1,3,11127,1536,2428,2457,662,528
2,3,1827,3446,3842,1055,1389,1840
1,3,7193,1017,3197,618,798,717
2,2,605,9926,14789,669,8204,542
2,3,10172,9042,10819,547,3347,2152
1,3,20945,1634,1854,2391,621,843
2,1,12100,3560,5047,1411,4070,353
1,3,16192,46272,92855,1101,40902,3019
2,1,22998,73571,32187,1060,20143,976
1,1,43345,5105,8197,6392,1659,14431
1,2,7700,378,3878,9571,1,-118
1,1,25390,4322,5816,3929,940,3664
1,1,11113,304,1346,3055,-223,68
1,3,12942,2950,2718,8881,815,1305
2,3,9460,27734,32296,3494,19168,5392
1,3,11000,2776,1748,34695,-243,2384
1,3,5748,12342,11445,328,5160,366
2,3,424,3341,6673,861,644,1130
1,3,-138,2455,7957,-16,3713,56
1,3,484,335,691,855,135,144
2,3,327,-64,602,719,-120,-44
2,2,9585,2109,1836,5566,142,250
2,1,12025,8210,12575,3683,8466,3460
1,3,1731,11121,16578,1904,7077,2149
2,3,2772,6299,7517,2401,4413,1226
1,3,55955,3377,8779,17901,1353,2371
1,3,14400,2432,3745,1636,1791,848
2,3,15697,1124,4080,1020,249,1488
2,3,1118,6001,10368,-203,6494,1495
2,3,8319,10168,14408,1993,8491,960
1,3,1700,8566,7150,416,2674,1405
1,3,1094,16417,28674,361,524,-309
2,2,12088,1918,1964,2546,439,1917
2,3,12448,10983,17438,674,6326,1388
1,3,18549,2273,1972,8356,-14,2211
1,3,14305,2162,1600,3087,452,1428
2,3,18074,1110,2030,2585,148,1296
2,3,11518,1177,3372,3099,660,994
1,3,11411,2759,3593,1755,548,460
1,3,7322,4212,5712,1979,651,1492
1,1,20150,1992,2463,5444,512,1034
1,2,8400,2486,2289,4038,408,777
2,1,17445,1485,3697,2702,459,1421
2,1,4498,3712,1976,2873,742,733
1,3,12456,445,489,2235,269,1104
2,3,10730,10329,8374,1754,1536,-297
2,1,36425,2017,3336,5162,875,1996
2,3,76438,3674,7303,16739,979,1119
1,3,18882,1503,1321,7858,12,146
1,3,21170,6948,10390,585,2091,2454
2,3,327,9034,4010,329,1249,190
2,3,42488,1102,1686,1894,586,1995
2,3,7208,2487,758,6375,454,970
1,3,2080,568,293,325,49,289
1,1,15146,2275,2722,819,1198,571
2,3,9243,851,1044,245,65,205
1,3,7113,1607,1899,445,-228,262
1,3,5891,880,2182,761,-210,-83
2,3,4248,8202,6653,4198,2070,1165
1,2,3326,8319,8521,900,960,275
1,3,13336,4056,4833,-46,48,3070
1,2,5872,5464,3828,1310,1122,1414
1,1,17521,4178,7203,2177,858,2514
1,2,30407,13280,5217,349,79,1478
2,3,36772,6888,7989,2731,-244,-261
2,3,10073,1264,764,8093,67,-14
2,3,19034,3884,2195,325,723,408
1,3,22199,8544,34952,202,12751,4590
1,3,7275,1442,1683,432,-421,26
2,3,9494,3664,2998,1577,1373,817
2,3,5519,179,137,3647,-122,29
2,3,32172,1793,2011,1160,473,1800
2,3,15725,1325,1265,353,-330,567
1,3,1374,3413,2107,616,340,1859
2,1,18847,1378,3142,3008,359,191
2,3,3268,9055,2173,584,107,1432
1,1,263,-304,-222,-284,-352,-351
1,3,1594,10295,19065,-162,11182,1758
2,3,3404,4865,14429,-109,6268,2756
2,1,17290,883,1991,2895,328,-65
2,3,2384,6093,9141,453,3527,1205
2,3,280,7629,14607,323,8002,228
1,3,2096,4022,13193,1195,4795,2528
2,2,12850,956,699,1508,419,2649
1,3,15177,2024,3810,2665,232,610
2,3,5249,15444,26588,2085,13444,164
1,3,5331,7710,8691,2647,3781,345
2,1,15577,12615,19820,4387,7070,2341
1,1,4587,6486,8935,758,4738,3402
1,3,2701,2970,3043,180,1455,468
1,3,6013,939,1007,1597,283,633
1,3,4968,271,1709,1953,-377,304
1,3,381,8796,13551,1237,7136,444
2,3,480,26142,20096,931,9053,6530
1,3,1178,5702,6759,556,3063,930
1,1,859,8022,20150,1282,10181,1061
1,3,565,1487,5520,2794,432,1721
1,3,2751,8253,12282,460,4604,2105
2,3,45600,6918,6496,7328,1492,190
2,3,12671,7242,4445,1664,-68,2543
1,3,10553,6626,4496,703,-329,-54
2,3,3243,4974,2586,4563,359,2251
1,3,12785,6465,9316,831,1811,3223
2,3,112571,30047,18568,17165,5368,8970
2,3,256,8095,10080,5,6469,-282
2,3,36419,43522,19742,36106,-189,47515
2,3,256,847,4639,3,263,-60
2,3,8006,6284,975,2017,-106,83
1,3,3308,820,1153,3769,1248,1026
1,3,2090,7654,9471,5921,3111,-345
1,3,8506,8105,12153,3224,7305,870
1,1,502,11245,11190,-57,3695,1524
1,3,17174,6488,2219,7570,356,302
2,3,13274,-55,1031,540,-307,-266
2,3,5168,1120,1910,206,-154,68
2,3,499,3804,20611,1278,5937,985
1,3,7598,1503,3465,1297,846,1633
1,3,17485,5601,5692,8350,792,2217
2,3,30249,6834,4522,18336,388,2501
1,3,2745,7415,10709,1445,4632,1786
2,3,12098,2566,7236,3939,1004,1109
1,3,9797,2407,2239,647,529,474
1,3,2632,12805,22692,3506,9524,296
1,3,4586,14501,24810,3651,14337,1783
1,3,24774,11058,9061,4636,-145,6425
2,3,730,832,2363,616,1101,165
1,3,2298,1233,5568,1725,347,1670
1,3,824,11428,23313,672,8982,427
2,1,6335,742,912,840,250,247
2,3,2458,4654,6006,2863,5233,37
2,1,1578,3789,5879,1900,3422,847
1,1,5306,12485,16523,620,12176,553
2,3,18265,1593,1091,1499,-58,1798
1,3,12015,28222,39590,4632,19306,2766
1,3,6911,632,1682,911,-140,1395
1,1,3324,6609,6868,1336,3968,1222
2,3,2344,6533,11346,895,5939,773
2,3,3230,11189,15962,1798,6252,2812
2,3,2692,16759,36646,339,13468,834
2,1,18330,1761,2332,2818,416,1444
1,3,-1,7485,15186,1266,4778,6353
1,3,4088,300,1323,2239,19,63
1,3,14523,667,1150,1533,-176,517
2,3,5742,7849,10992,437,4513,585
2,1,5004,1078,2819,7459,219,338
1,3,2921,2658,5396,5743,919,1491
2,3,6992,377,1217,502,-212,377
2,3,12359,2922,3836,339,440,465
2,1,20774,5913,9204,1751,2560,1545
2,3,4511,2673,2032,2755,732,1158
2,1,1369,77,72,450,4262,-297
1,3,8516,2606,2361,6705,554,840
2,2,11194,6111,5737,8443,1077,2259
1,3,2494,10828,3978,1589,1716,640
2,1,25983,1801,3859,659,305,855
2,3,681,4701,3033,654,126,-276
1,3,15767,2867,3997,4424,489,2727
1,3,1402,5944,2388,782,780,-141
1,1,8473,658,2885,2150,253,63
1,3,19155,4301,1056,5097,491,1678
1,2,6932,44,154,681,-359,-215
1,1,47169,2243,3455,4919,504,1929
1,2,22243,3722,7188,11569,490,2711
1,3,25167,2039,2713,2454,650,1285
